2022-02-28 17:08:01.961 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:08:07.165 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:08:07.167 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:08:12.400 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:08:12.402 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:08:17.600 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:08:17.603 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:08:22.845 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:08:22.847 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:08:28.075 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:08:28.078 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:08:33.274 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:08:33.276 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:08:38.438 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:08:38.440 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:08:43.594 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:08:43.596 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:08:48.771 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:08:48.774 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:08:53.953 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:08:53.955 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:08:59.116 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:08:59.118 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:09:04.324 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:09:04.326 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:09:09.516 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:09:09.518 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:09:14.669 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:09:14.670 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:09:19.847 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:09:19.848 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:09:21.205 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:__create_data_model:190 - block id：1，block得分：9.706632233948327e-15，block平均用时：2.0588
2022-02-28 17:10:32.916 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
2022-02-28 17:10:32.918 | INFO     | communication.CommunicationProducer:send:36 - 向Algorithm2Stimulation发送信息:b'FDBK\x80\x04K!.'
2022-02-28 17:10:38.077 | INFO     | AlgorithmSystem.Framework.AlgorithmSystemManager:report:120 - 当前trial的汇报结果为：33
